index	word	hiragana	meaning	meaning2	sentence	sentence meaning	group	level	set
2936	週刊	しゅうかん	published weekly		この<b> 週刊[しゅうかん]</b> 誌[し]を 毎週[まいしゅう] 買[か]っているの。	I buy this weekly magazine every week.	5k	38	8
2938	原	はら	plain	field	クローバーの<b> 原[はら]</b>でピクニックをしたよ。	We had a picnic in a clover field.	5k	17	1
2941	つぶやく	つぶやく	mutter	murmur	彼は一人で何か<b>つぶやいて</b>いたの。	He was muttering something to himself.	JLPT0	5	3
2943	出会う	であう	meet		アメリカで彼女と<b>出会いました</b>。	I met her in the United States.	JLPT2	20	9
2944	発達	はったつ	development	growth	通信[つうしん] 技術[ぎじゅつ]の<b> 発達[はったつ]</b>は 目覚[めざ]ましいな。	The development of communication technology is remarkable.	4k	18	5
2946	生	なま	raw	fresh	彼は<b>生</b>の魚が食べられません。	He can't eat raw fish.	JLPT2	20	2
2947	ハウス	ハウス	greenhouse	house	このトマトは<b>ハウス</b> 栽培[さいばい]だ	These tomatoes are grown under glass.	7k 	7	2
2947	にらむ	にらむ	glare	stare	彼女は私を<b>にらんだ</b>の。	She glared at me.	JLPT0	5	5
2948	性能	せいのう	performance	capacity	今度[こんど]のパソコンは<b> 性能[せいのう]</b>がすごく 良[い]い。	The performance of this new computer is extremely good.	3k	14	9
2949	のんき	のんき	carefree	easy-going	彼はずいぶん<b>のんき</b>なやつだ。	He's a fairly easygoing guy.	JLPT0	5	5
2951	ばら色	ばらいろ	rose color		彼女の人生は<b>ばら色</b>だったの。	Her life was rosy.	JLPT0	5	3
2952	ふもと	ふもと	foot of the mountain		彼は山の<b>ふもと</b>に住んでいるよ。	He lives at the foot of a mountain.	JLPT0	5	9
2953	象徴	しょうちょう	symbol	icon	天皇[てんのう]は 日本[にほん] 国[こく]の<b> 象徴[しょうちょう]</b>です。	The emperor is a symbol of Japan.	6k	26	7
2953	ほほ	ほほ	cheek		彼女は真っ赤な<b>ほほ</b>をしているね。	Her cheeks are flushed.	JLPT0	5	2
2954	性質	せいしつ	nature	property	この 犬[いぬ]は 穏[おだ]やかな<b> 性質[せいしつ]</b>だよ。	This dog has a calm nature.	3k	24	10
2954	ほほえむ	ほほえむ	smile		彼女は私に<b>ほほえんだ</b>よ。	She smiled at me.	JLPT0	5	3
2955	送信	そうしん	transmission		社長[しゃちょう]が 全[ぜん] 社員[しゃいん]にメールを<b> 送信[そうしん]</b>した	The president sent an email to all employees.	8k	15	1
2957	まれ	まれ	rarely		彼が仕事を休むのは<b>まれ</b>です。	It's rare that he takes a day off from work.	JLPT0	5	4
2958	敢えて	あえて	dare	boldly	彼[かれ]は<b>あえて</b> 危険[きけん]を 冒[おか]したの。	He dared to face danger.	6k 	6	6
2958	無言	むごん	silence	muteness	彼は一日中<b>無言</b>だったな。	He was silent all day long.	JLPT1	30	9
2959	めくる	めくる	turn over		彼はページを<b>めくった</b>の。	He turned the page.	JLPT0	5	5
2960	もうかる	もうかる	make a profit	be profitable	彼の商売は<b>もうかっている</b>らしいね。	His business seems to be doing well.	JLPT0	5	10
2961	最も	もっとも	the most		彼は世界で<b>最も</b>早い男です。	He's the fastest man in the world.	JLPT2	20	2
2963	アウト	アウト	out	Out!	あと<b>アウト</b> 二[ふた]つで 試合[しあい] 終了[しゅうりょう]です	The game will be finished after two “outs”.	7k 	7	4
2964	悪口	わるくち	slander	abuse	彼は決して人の<b>悪口</b>を言わないの。	He never speaks ill of people.	JLPT2	20	2
2965	もうじき	もうじき	soon		彼は<b>もうじき</b>父親になります。	Soon he'lll become a father.	JLPT0	5	6
2966	やたらに	やたらに	frequently	persistently	彼は<b>やたらに</b>話しかけてきた。	He persistently tried to talk to me.	JLPT2	20	1
2967	結局	けっきょく	after all	finally	彼は<b>結局</b>何を言いたかったのだろう。	I wonder what he wanted to say after all.	JLPT2	20	10
2972	ラーメン	ラーメン	ramen	(Chinese noodles)	夕食[ゆうしょく]に<b>ラーメン</b>を 食[た]べました。	I ate ramen for supper.	2k	2	5
2972	ちっとも	ちっとも	nothing at all		彼女が結婚したなんて、<b>ちっとも</b>知らなかった。	I had no idea that she'd gotten married.	JLPT3	10	7
2973	態々	わざわざ	going out of one's way to do something		<b>わざわざ</b> 来[き]てくれてありがとう。	Thank you for coming all the way here.	3k 	3	7
2973	未婚	みこん	unmarried		彼はまだ<b>未婚</b>です。	He's still single.	JLPT1	30	8
2976	最高	さいこう	maximum	supreme	これまでで<b>最高</b>の結果が出たよ。	I got my best results so far.	JLPT2	20	4
2976	ギター	ギター	guitar		彼女[かのじょ]は<b>ギター</b>が 得意[とくい]です。	She's good at the guitar.	2k	2	2
2977	試合	しあい	match	game	<b>試合</b>の結果を早く知りたい。	I want to know soon the results of the game.	JLPT3	10	8
2978	満足	まんぞく	satisfaction	contentment	彼は結果に<b>満足</b>したようです。	He seems to be satisfied with the result.	JLPT2	20	2
2979	果たして	はたして	as was expected	really	<b>果たして</b>彼は現れるだろうか。	Will he really show up in the end?	JLPT0	5	10
2980	神経	しんけい	nerves		彼[かれ]は<b> 神経[しんけい]</b>が 細[こま]かいですね。	He is very sensitive.	5k	20	6
2982	効く	きく	be effective		この薬はあまりよく<b>効かない</b>よ。	This medicine doesn't work very well.	JLPT2	20	1
2983	効力	こうりょく	effect	validity	その薬は<b>効力</b>が強いよ。	The effect of the medicine is strong.	JLPT2	20	1
2985	自動	じどう	automatic operation		このドアは<b>自動</b>よ。	This door is automatic.	JLPT2	20	6
2986	意義	いぎ	meaning	significance	この 事業[じぎょう]には 大[おお]きな<b> 意義[いぎ]</b>があります。	This project has enormous significance.	4k	21	9
2987	抑える	おさえる	suppress	bring under control /&nbsp;to gain control of something;  to govern;  to keep down (e.g. information);  to suppress /&nbsp;to catch happening;  to determine (important points);  to find (proof);  to understand&nbsp;	彼[かれ]は 怒[いか]りを<b> 抑[おさ]えて</b>いたの。	He was suppressing his anger.	6k	38	6
2988	各自	かくじ	each one	every individual	ごみは<b>各自</b>で持ち帰ってください。	Please take your own garbage home.	JLPT2	20	8
2992	信用	しんよう	trust	credit	彼の言うことは<b>信用</b>できない。	I can't trust what he says.	JLPT2	20	4
2993	お前	おまえ	you	darling	<b>お前</b>の言うことは信じられない。	I can't believe what you say.	JLPT0	5	6
2996	信頼	しんらい	reliance	confidence	私は部下を<b>信頼</b>しています。	I trust my subordinates.	JLPT2	20	8
2997	依頼	いらい	request	commission	彼に協力を<b>依頼</b>しました。	I requested his cooperation.	JLPT2	20	9
2998	頼る	たよる	rely on	depend on	人に<b>頼らないで</b>、自分でやってごらん。	Do it yourself without relying on other people.	JLPT2	20	1
2999	頼み	たのみ	request	favor	あなたに<b>頼み</b>があるんですけど。	By the way, I have a favor to ask you.	JLPT0	5	1
2999	取締役	とりしまりやく	director		彼[かれ]はわが 社[しゃ]の<b> 取締役[とりしまりやく]</b>です	He is the director of our company.	9k	27	1
3001	国民	こくみん	the people	nation	<b>国民</b>の安全が最も大切です。	Citizen safety is most important.	JLPT2	20	7
3001	方面	ほうめん	direction		沖縄[おきなわ]<b> 方面[ほうめん]</b>にお 出[で]かけの 方[かた]は 台風[たいふう]にご 注意[ちゅうい]ください。	People heading in the direction of Okinawa should be careful of typhoons.	4k	16	5
3003	主に	おもに	mainly	mostly	この商品は<b>主に</b>女性に人気がありまして。	This product is mainly popular among women.	JLPT2	20	3
3005	主	おも	main	chief	彼女の<b>主</b>な仕事は接客だよ。	Her main job is customer service.	JLPT0	5	5
3006	ローン	ローン	(bank) loan		家[いえ]を 25 年[ねん]<b>ローン</b>で 買[か]いました	The house was bought with a 25-year loan.	7k 	7	2
3007	直前	ちょくぜん	just before	immediately prior	彼[かれ]は 旅行[りょこう]の<b> 直前[ちょくぜん]</b>に 熱[ねつ]が 出[で]たの。	He got a fever just before going on a trip.	4k	6	6
3008	主義	しゅぎ	principle	-ism	私は車は持たない<b>主義</b>です。	I do not have a car on principle.	JLPT2	20	8
3010	義理	ぎり	sense of duty	justice	彼は<b>義理</b>を大切にしています。	He values duty.	JLPT1	30	7
3010	部品	ぶひん	parts	accessories	車[くるま]の<b> 部品[ぶひん]</b>を 取[と]り 替[か]えたんだ。	I changed some parts of the car.	3k	16	7
3011	アイデア	アイデア	idea		彼[かれ]がいい<b>アイデア</b>を 出[だ]したね。	He came up with a good idea.	2k	2	10
3012	議会	ぎかい	assembly	council	<b>議会</b>で区の来年の予定が話し合われたんだ。	The council discussed the district's plan for the upcoming year.	JLPT2	20	8
3014	負う	おう	bear on the back	take upon yourself	彼[かれ]は 取締役[とりしまりやく]として 大[おお]きな 責任[せきにん]を<b> 負[お]って</b>いる	He assumes a big responsibility as a director.	7k	9	6
3015	次回	じかい	next time		<b>次回</b>の会議は2週間後に行います。	The next meeting will be held in two weeks.	JLPT0	5	6
3016	幹部	かんぶ	executive		あの 会社[かいしゃ]の<b> 幹部[かんぶ]</b>は 皆[みんな]とても 優秀[ゆうしゅう]だね。	The executives in that company are all exceptional.	6k	23	7
3017	本社	ほんしゃ	head office		今日は<b>本社</b>で会議があります。	There's a conference at headquarters today.	JLPT0	5	5
3018	不思議	ふしぎ	mystery	wonder	それはとても<b>不思議</b>な話だね。	It's a very mysterious story.	JLPT2	20	9
3020	明日	みょうにち	tomorrow		<b>明日</b>、会議を開きます。	The conference will be held tomorrow.	JLPT0	5	5
3020	最適	さいてき	optimum	best	ここは 子育[こそだ]てに<b> 最適[さいてき]</b>な 環境[かんきょう]です。	This is the best environment for raising children.	5k	30	5
3023	議論	ぎろん	argument	discussion	父は<b>議論</b>好きです。	My father likes engaging in debates.	JLPT2	20	10
3028	下書き	したがき	draft		今、論文の<b>下書き</b>をしているところです。	I am in the middle of the thesis draft now.	JLPT2	20	7
3030	理論	りろん	theory		彼は大学で音楽の<b>理論</b>を勉強したんだよ。	He studied music theory in college.	JLPT1	30	7
3031	見通し	みとおし	prospect		仕事[しごと]の<b> 見通[みとお]し</b>がたたない。	There's no prospect for my work.	3k	7	5
3031	まとめ	まとめ	summary		論文の<b>まとめ</b>を書いています。	I'm writing a summary of the article.	JLPT0	5	8
3032	違反	いはん	violation	breach	彼は校則に<b>違反</b>しました。	He violated school regulations.	JLPT2	20	10
3035	進出	しんしゅつ	advancement	foray	大手[おおて]チェーン 店[てん]が<b> 進出[しんしゅつ]</b>している。	The major chain store is expanding.	5k	10	3
3037	為替	かわせ	exchange	<div><div>money order;  draft /&nbsp;exchange (e.g. foreign)</div></div>	インターネットで<b> 為替[かわせ]</b>レートをチェックしよう	Let's check the exchange rate on the Internet.	9k	35	3
3041	総裁	そうさい	president	director-general	あの 人[ひと]は 日本銀行[にっぽんぎんこう]の<b> 総裁[そうさい]</b>です。	That person is the president of the Bank of Japan.	6k	23	9
3041	一応	いちおう	tentatively		彼にも<b>一応</b>知らせておいたほうがいいだろう。	It'd be better to just let him know.	JLPT2	20	3
3045	ごまかす	ごまかす	deceive	evade	彼は質問の答えを<b>ごまかした</b>ね。	He cheated on the answer to the question.	JLPT1	30	1
3050	格差	かくさ	gap	disparity	貧富[ひんぷ]の<b> 格差[かくさ]</b>が 大[おお]きくなっている。	The gap between rich and poor is getting bigger.	4k	24	2
3051	区別	くべつ	distinction	discrimination	あの 二人[ふたり]はそっくりで<b> 区別[くべつ]</b>できない。	Those two look so identical that I can't tell them apart.	4k	15	8
3052	差別	さべつ	discrimination		彼は<b>差別</b>をなくす運動をしています。	He is working to end discrimination.	JLPT2	20	8
3054	性	せい	sex	nature	この会社では<b>性</b>による差別はありません。	There is no gender discrimination in this company.	JLPT2	20	4
3055	別に	べつに	especially	particularly	私は<b>別に</b>気になりません。	I'm not especially anxious.	JLPT2	20	3
3057	専門	せんもん	specialty	profession	法律は私の<b>専門</b>です。	My specialty is law.	JLPT3	10	10
3058	課	か	section	division	今[いま]から<b> 課[か]</b>のミーティングがある。	Our division is going to have a meeting now.	2k	13	2
3059	外来語	がいらいご	loanword	foreign word	<b>外来語</b>は一般にカタカナで書かれます。	In general, loan words are written in katakana.	JLPT0	5	9
3061	経済的	けいざいてき	economical	economic	<b>経済的</b>な効果は計り知れません。	The economic effects are immeasurable.	JLPT0	5	1
3062	才能	さいのう	talent	ability	彼は芸術的な<b>才能</b>にあふれているね。	He is full of artistic talent.	JLPT2	20	9
3063	法的	ほうてき	legal	legalistic	彼[かれ]に 対[たい]して<b> 法的[ほうてき]</b>な 措置[そち]をとります	I took legal measures against him.	8k	15	2
3070	屡々	しばしば	often	frequently	課長[かちょう]は<b>しばしば</b> 出張[しゅっちょう]します。	The section chief often goes on business trips.	5k 	5	1
3073	競技	きょうぎ	sports game	competitive sport	彼[かれ]は 個人[こじん]<b> 競技[きょうぎ]</b>のスポーツが 好[す]きです。	He likes individual sports.	4k	14	2
3075	普段	ふだん	usual	ordinary	私は<b>普段</b>はTシャツとジーンズを着ています。	I usually wear a T-shirt and jeans.	JLPT2	20	2
3076	なさる	なさる	do		お申し込み<b>なさる</b>のでしたら、こちらにお並びください。	Please line up here if you're applying.	JLPT3	10	9
3076	当事者	とうじしゃ	the person concerned		この 問題[もんだい]は<b> 当事者[とうじしゃ]</b>たちが 話し合[はなしあ]う 必要[ひつよう]があります	The people concerned should discuss this problem.	8k	9	1
3077	素直	すなお	honest	straightforward	彼女[かのじょ]はとても<b> 素直[すなお]</b>で 可愛[かわい]いですね。	She is very honest and cute.	6k	21	3
3078	決算	けっさん	settlement of accounts		今月[こんげつ]は<b> 決算[けっさん]</b>のため 大変[たいへん] 忙[いそが]しい	I am very busy this month due to closing the financial books.	7k	10	7
3079	もたらす	もたらす	bring about	lead to	彼はこの国に平和を<b>もたらした</b>のよ。	He brought peace to this country.	JLPT1	30	10
3079	スクール	スクール	school		彼女[かのじょ]は 週[しゅう]一 回[かい]カルチャー<b>スクール</b>に 通[かよ]っている	She attends a culture school once a week.	7k 	7	3
3081	遥か	はるか	far	distant	<b>はるか</b> 向[む]こうに 目的[もくてき] 地[ち]が 見[み]えてきた。	Our destination has come into view far in the distance.	6k 	6	8
3083	平日	へいじつ	weekday		彼は<b>平日</b>がお休みです。	He has weekdays off.	JLPT2	20	8
3084	以下	いか	below		数学が平均点<b>以下</b>だった。	The math score was below average.	JLPT3	10	2
3085	平均	へいきん	average	equilibrium	<b>平均</b>で一日に8時間ぐらい働いています。	I work for about eight hours a day on average.	JLPT2	20	10
3086	高等	こうとう	higher	high-grade	人間は<b>高等</b>な生物と言われている。	It is said that humans are advanced creatures.	JLPT2	20	2
3086	人事	じんじ	human affairs	personnel affairs	彼[かれ]は<b> 人事[じんじ]</b>を 担当[たんとう]しているんだ。	He is in charge of personnel affairs.	3k	9	4
3089	対等	たいとう	equality	parity	その子供は大人と<b>対等</b>に話していたよ。	That kid was speaking with an adult as an equal.	JLPT1	30	7
3092	マーケット	マーケット	market		彼[かれ]はイタリアの<b>マーケット</b>を 開拓[かいたく]しました。	He has explored into the Italian market.	2k	2	10
3093	病人	びょうにん	sick person	patient	<b>病人</b>が出たので電車が少し止まったんだ。	The train stopped for a while as someone was ill.	JLPT0	5	7
3094	応用	おうよう	application	usage	このレシピはいろいろ<b> 応用[おうよう]</b>できます。	This recipe can be used in many ways.	4k	22	8
3095	振興	しんこう	furtherance	promotion	彼女[かのじょ]は 教育[きょういく]の<b> 振興[しんこう]</b>に 一生[いっしょう]をささげました	She devoted her life to the promotion of education.	9k	32	5
3097	段々	だんだん	gradually	little by little	<b>だんだん</b> 仕事[しごと]が 楽[たの]しくなってきました。	Little by little I've come to enjoy my work.	2k	2	8
3098	医学	いがく	medical science	medicine	彼は<b>医学</b>を学んでいます。	He studies medicine.	JLPT3	10	8
3099	生える	はえる	grow	spring up	息子に新しい歯が<b>生えました</b>。	My son has a new tooth coming in.	JLPT2	20	8
3101	科目	かもく	subject		今日は3<b>科目</b>のテストを受けたよ。	I took exams for three subjects today.	JLPT2	20	2
3102	レコード	レコード	record		ジャズの<b>レコード</b>をかけました。	I put on a jazz record.	1k	1	9
3104	権限	けんげん	competence	power	私[わたし]にはそれを 許可[きょか]する<b> 権限[けんげん]</b>がありません	I don't have the authority to permit it.	9k	25	3
3107	動向	どうこう	trend		今[いま]、 経済[けいざい]の<b> 動向[どうこう]</b>は 読[よ]みにくい。	Economic trends are difficult to read at the moment.	4k	12	4
3107	天国	てんごく	paradise		死んだら<b>天国</b>に行きたいです。	I want to go to heaven when I die.	JLPT1	30	8
3108	死亡	しぼう	death		その事故では2人<b>死亡</b>したの。	Two people died in that accident.	JLPT2	20	6
3111	あくまで	あくまで	in the end	stubbornly	彼[かれ]は<b>あくまで</b> 自分[じぶん]の 主義[しゅぎ]を 通[とお]す 人[ひと]だ	He is a person who stands by his principles to the end.	7k 	7	6
3111	多忙	たぼう	very busy		彼女は<b>多忙</b>な人です。	She's a busy person.	JLPT1	30	7
3113	疲れ	つかれ	fatigue	exhaustion	最近<b>疲れ</b>がたまっています。	My fatigue is building up these days.	JLPT2	20	4
3116	禁じる	きんじる	prohibit	forbid	市は昨年から歩きタバコを<b>禁じている</b>の。	Since last year, the city has banned smoking cigarettes while walking.	JLPT1	30	1
3119	どんなに	どんなに	how much		彼女[かのじょ]は<b>どんなに</b> 嬉[うれ]しかったろう。	How happy she must have been.	5k 	5	1
3120	つぐ	つぐ	pour	pour into	お酒をお<b>つぎしましょう</b>。	Let me pour you a drink.	JLPT0	5	6
3122	酔う	よう	get drunk		みんなかなり<b>酔っていた</b>の。	Everyone got considerably drunk.	JLPT2	20	1
3124	違法	いほう	illegality		ごみを 川[かわ]に 捨[す]てるのは<b> 違法[いほう]</b>です	It is illegal to throw garbage in the river.	7k	24	10
3125	スケジュール	スケジュール	schedule		<b>スケジュール</b>の 調整[ちょうせい]は 君[きみ]に 任[まか]せるわ。	I'll let you coordinate my schedule.	2k	2	10
3126	保つ	たもつ	preserve	sustain	彼女は若さを<b>保とう</b>と必死だ。	She's desperately trying to retain her youth.	JLPT1	30	2
3129	保証	ほしょう	guarantee	warranty	この製品の<b>保証</b>期間は5年間となっております。	The guarantee period of this product is five years.	JLPT2	20	8
3130	本体	ほんたい	main part	substance	エンジン<b> 本体[ほんたい]</b>を 取り替[とりか]えた	The main body of the engine was changed.	7k	5	1
3131	生存	せいぞん	existence	survival	乗客は全員<b>生存</b>しています。	All passengers survived.	JLPT2	20	2
3132	ご存じ	ごぞんじ	know		彼の名前を<b>ご存じ</b>ですか。	Do you know his name?	JLPT3	10	2
3133	保存	ほぞん	preservation	conservation	データを30分おきに<b>保存</b>してください。	Please save data every 30 minutes.	JLPT2	20	9
3135	存じる	ぞんじる	think	know	郵便局はどこかご<b>存じ</b>ですか。	Do you know where the post office is?	JLPT2	20	1
3144	意地悪	いじわる	nastiness	ill-natured person	彼は時々<b>意地悪</b>な質問をする。	He sometimes raises nasty questions.	JLPT2	20	9
3145	もっとも	もっとも	quite right		彼の意見は<b>もっとも</b>です。	His opinion is quite right.	JLPT0	5	3
3146	まとまる	まとまる	be collected		みんなの意見が<b>まとまりました</b>。	Everyone's opinions were brought together.	JLPT0	5	8
3151	面	めん	surface	aspect	彼の意外な<b>面</b>を見た。	I saw an unexpected side of him.	JLPT2	20	5
3152	文	ぶん	writings	sentence	この<b>文</b>は意味が分かりません。	I don't understand the meaning of this sentence.	JLPT2	20	10
3153	金額	きんがく	amount of money	sum	レシートで買い物の<b>金額</b>を確かめたよ。	I confirmed the cost of the shopping with the receipt.	JLPT2	20	10
3154	付け	つけ	account	bill	この 店[みせ]は<b> 付[つ]け</b>がきく	I can get credit at that shop.	8k	7	10
3157	認める	みとめる	recognize	acknowledge	父が彼女との結婚を<b>認めてくれました</b>。	My father gave me permission to marry her.	JLPT2	20	1
3158	効率	こうりつ	efficiency		作業の<b>効率</b>を上げるにはどうしたらいいですか。	How should we increase efficiency at work?	JLPT1	30	2
3159	確率	かくりつ	probability	rate	天気予報は当たる<b>確率</b>が高くなりましたね。	The chance that the weather forecast is right has increased.	JLPT2	20	4
3163	機会	きかい	opportunity	occasion	家族で話し合う<b>機会</b>を持ちました。	I set up an opportunity to have a discussion with the family.	JLPT3	10	2
3164	首都	しゅと	capital		東京[とうきょう]は 日本[にっぽん]の<b> 首都[しゅと]</b>です。	Tokyo is the capital of Japan.	2k	12	4
3166	なるほど	なるほど	I see	really	<b>なるほど</b>、よく 分[わ]かりました。	I see--now I understand well.	1k	1	5
3170	分解	ぶんかい	taking apart		機械を<b>分解</b>してみたの。	I tried to take the machine apart.	JLPT2	20	1
3171	楽器	がっき	musical instrument		私が好きな<b>楽器</b>はギターです。	My favorite instrument is the guitar.	JLPT2	20	2
3172	食器	しょっき	tableware	dinner set	<b>食器</b>を全部新しくしました。	I replaced all the tableware.	JLPT2	20	4
3173	器用	きよう	skillful	clever	彼はかなり<b>器用</b>な人です。	He is very good with his hands.	JLPT2	20	1
3175	器	うつわ	vessel	dish	この<b>器</b>は上等ね。	This dish is really top quality.	JLPT1	30	8
3177	順	じゅん	order	sequence	あいうえお<b> 順[じゅん]</b>に 並[なら]べてください。	Please place them in order of the Japanese alphabet.	5k	19	8
3177	取材	しゅざい	collection of data	gathering of news	テレビも<b>取材</b>に来たほど有名なレストランです。	The restaurant is so famous that the TV news ran a story on it.	JLPT1	30	8
3178	具合	ぐあい	condition	health	今日は体の<b>具合</b>が悪いです。	I feel unwell today.	JLPT3	10	6
3179	作曲	さっきょく	composition		この 曲[きょく]は 誰[だれ]が<b> 作曲[さっきょく]</b>したのですか。	Who composed this piece of music?	4k	6	6
3179	家具	かぐ	furniture		部屋の<b>家具</b>を動かしました。	I moved the furniture in the room.	JLPT2	20	4
3180	失業	しつぎょう	unemployment	loss of job	友達[ともだち]のお 父[とう]さんが 突然[とつぜん]<b> 失業[しつぎょう]</b>したの。	My friend's father suddenly lost his job.	4k	10	10
3182	論理	ろんり	logic		数学は<b>論理</b>に基づく学問です。	Mathematics is a field of study based on logic.	JLPT1	30	3
3183	客観	きゃっかん	object	objective	自分[じぶん]を<b> 客観[きゃっかん]</b> 視[し]することは 難[むずか]しい	It is difficult to look at oneself objectively.	8k	22	8
3185	任せる	まかせる	entrust to	leave it to	この 仕事[しごと]は 君[きみ]に<b> 任[まか]せる</b>。	I'm leaving this work up to you.	5k	21	3
3195	やっつける	やっつける	beat	let someone have it	主人公が悪者を<b>やっつけた</b>。	The hero finished off the villain.	JLPT2	20	3
3196	死体	したい	corpse	body	公園で<b>死体</b>が見つかったの。	A corpse was found in the park.	JLPT2	20	6
3196	見詰める	みつめる	stare	gaze	彼[かれ]はその 絵[え]をずっと<b> 見[み]つめて</b>いたの。	He was staring at the painting for a long time.	3k	4	4
3198	遊園地	ゆうえんち	amusement park		この<b>遊園地</b>のチケットは3000円です。	The tickets for this amusement park are 3000 yen.	JLPT2	20	6
3201	市長	しちょう	mayor		新[あたら]しい<b> 市長[しちょう]</b>が 選[えら]ばれました。	A new mayor has been elected.	3k	6	8
3202	一種	いっしゅ	sort of	almost	これは<b> 一種[いっしゅ]</b> 独特[どくとく]の 味[あじ]がするね。	This has an unusual sort of taste.	4k	18	6
3202	一種	いっしゅ	a type of	a kind of	それは 果物[くだもの]の<b> 一種[いっしゅ]</b>です。	It's a kind of fruit.	4k	18	6
3206	際	さい	occasion	time	この<b>際</b>はっきり言っておきます。	It's a good opportunity to speak frankly.	JLPT2	20	6
3206	出張	しゅっちょう	business trip		部長[ぶちょう]は 京都[きょうと]に<b> 出張[しゅっちょう]</b> 中[ちゅう]です。	The manager is on a business trip to Kyoto.	2k	23	8
3207	座席	ざせき	seat		飛行機の<b>座席</b>はゆったりしていたよ。	The airplane seat was spacious.	JLPT2	20	6
3208	夕食	ゆうしょく	supper	dinner	<b> 夕食[ゆうしょく]</b>は７ 時[じ]です。	Dinner's at seven o'clock.	1k	6	4
3209	叩く	たたく	tap	hit	彼[かれ]は 子供[こども]のおしりを<b> 叩[たた]いた</b>。	He slapped his child on his bottom.	2k	61	10
3210	飛ばす	とばす	fly	shoot	子供が紙飛行機を<b>飛ばしています</b>。	The child is flying a paper airplane.	JLPT2	20	7
3211	ダウン	ダウン	down	malfunction	サーバーが<b>ダウン</b>しています。	The server is down.	6k 	6	7
3213	はえ	はえ	fly		<b>はえ</b>がうるさく飛んでいるね。	An annoying fly is flying about.	JLPT0	5	2
3215	よける	よける	avoid	evade	彼は飛んできたボールを<b>よけた</b>の。	He dodged the ball that flew towards him.	JLPT0	5	1
3216	半年	はんとし	half a year		日本[にっぽん]に 来[き]て<b> 半年[はんとし]</b>になります。	It has been half a year since I came to Japan.	1k	4	4
3217	航空	こうくう	aviation		会議で<b>航空</b>の安全について話し合ったの。	Airline safety was discussed at the conference.	JLPT2	20	5
3218	豊富	ほうふ	abundant	plentiful	この 果物[くだもの]はビタミンが<b> 豊富[ほうふ]</b>です。	This fruit is abundant in vitamins.	5k	31	9
3219	身近	みぢか	near oneself	close to one	私[わたし]にとって 動物[どうぶつ]は<b> 身近[みぢか]</b>な 存在[そんざい]です。	I feel very close to animals.	5k	8	10
3219	航空券	こうくうけん	airline ticket		電話で<b>航空券</b>を予約しました。	I booked an airline ticket by phone.	JLPT0	5	2
3220	材木	ざいもく	timber	wood	船から<b>材木</b>が降ろされていますね。	Timber is being unloaded from the ship.	JLPT2	20	1
3220	焚く	たく	make a fire	(stove etc.)	薪[たきぎ]を 集[あつ]めて 火[ひ]を<b>たいた</b>よ。	I gathered wood and made a fire.	6k 	6	6
3223	ハード	ハード	hard		最近[さいきん]、 仕事[しごと]がかなり<b>ハード</b>です。	My work is pretty hard these days.	6k 	6	6
3224	余り	あまり	remainder	leftover	<b> 余[あま]り</b>は 次回[じかい] 使[つか]いましょう。	Let's use the leftover next time.	5k	20	9
3225	島	とう	island		私たちはハワイのマウイ<b>島</b>に旅行したの。	We traveled to Maui island in Hawaii.	JLPT0	5	9
3226	完全	かんぜん	perfect	complete	この古い寺院は今でも<b>完全</b>な形を保っているんだ。	This old Buddhist temple still maintains its complete form.	JLPT2	20	5
3227	不完全	ふかんぜん	imperfection	incompleteness	このデータはまだ<b>不完全</b>ね。	This data is still unfinished.	JLPT0	5	5
3227	加わる	くわわる	join in		私[わたし]たちのチームに 彼[かれ]が<b> 加[くわ]わった</b>。	He joined our team.	5k	19	3
3229	賛成	さんせい	approval	agreement	私は彼の意見に<b>賛成</b>だ。	I agree with his opinion.	JLPT2	20	9
3230	面接	めんせつ	interview		新[あたら]しい 仕事[しごと]の<b> 面接[めんせつ]</b>に 行[い]ってきました。	I had a interview for my new job.	2k	26	1
3239	失敗	しっぱい	failure	mistake	一度の<b>失敗</b>であきらめてはいけないよ。	You must not give up after one setback.	JLPT3	10	8
3240	配布	はいふ	distribution		引換[ひきかえ] 券[けん]は 9 時[じ]から<b> 配布[はいふ]</b>されます	Coupons will be distributed at nine o'clock.	9k	19	9
3240	せい	せい	cause	fault	自分の失敗を他人の<b>せい</b>にするな。	Don't blame others for your failure.	JLPT0	5	4
3241	勝敗	しょうはい	victory or defeat		このセットで<b>勝敗</b>が決まります。	Victory or defeat will be decided in this set.	JLPT2	20	6
3241	同意	どうい	consent	agreement	彼[かれ]の 意見[いけん]には<b> 同意[どうい]</b>できません。	I can't agree with his opinion.	4k	11	9
3243	交付	こうふ	delivery	issue	パスポートの<b> 交付[こうふ]</b>には 1 週間[しゅうかん]かかります	It takes one week to deliver the passport.	8k	7	10
3244	有り難い	ありがたい	thankful	grateful	彼[かれ]の 助[たす]けは 本当[ほんとう]に<b>ありがたい</b>な。	I truly appreciate his help.	6k 	6	9
3245	過ごす	すごす	pass	let pass	夏休みを高原で<b>過ごしました</b>。	I spent the summer vacation in the highlands.	JLPT2	20	2
3248	原子力	げんしりょく	atomic energy	nuclear power	<b>原子力</b>の安全な利用について考えましょう。	Let's think about the safe use of nuclear power.	JLPT0	5	7
